,H,N,SimpleE,SimpleC,delta
0,1.5,1.1123895473286174,0.0,43,6
1,1.6645058644968105,2.3161998168476208,0.25934430022960836,41,6
2,2.0,3.969750754254636,1.5972215256076239,19,2
3,2.0,4.441782107006404,2.6584842627279994,23,4
4,0.0,0.4423520285116016,0.0,20,2
5,1.0,5.0,0.2738515122156984,30,4
6,0.0,2.0,3.763561971242886,30,4
7,2.0,1.6324282677364135,0.8542101414771266,15,2
8,1.0,5.0,0.867956961277732,28,4
9,0.0,5.0,1.0819644265657176,34,6
10,1.0,2.0,4.428830253471711,23,4
11,1.6644829301231567,1.7722814486167726,0.0,39,6
12,0.03171255923753202,2.0,0.45354448381912116,43,6
13,3.0,4.0,0.052258916475107386,26,4
14,3.0,3.722516745884837,0.18501011298995976,13,2
15,0.0,1.0,1.606569978455898,9,2
16,8.0,2.870555712444169,3.3330915249836917,43,6
17,2.0,1.8337734420659162,0.0,21,4
18,0.0,1.6771483767628101,1.120157824933582,14,2
19,1.4686292304570472,5.0,0.7999483351045891,22,4
20,0.9641366666774758,3.035243740311203,2.3911969534634983,27,4
21,5.0,0.6570972055619784,0.0,32,4
22,0.0,4.086259874822398,2.064999385003152,31,6
23,2.0,4.605755173253668,0.987412040864673,42,6
24,1.3229583266300944,3.8231127407791696,2.0046999976505657,23,4
25,1.0,1.4713477592908282,0.4095594189704116,31,4
26,0.0,1.0,5.0,26,4
27,1.3102860222986106,2.0,2.153761926903835,24,4
28,3.0,2.0,0.2985480931215714,29,4
29,0.0,2.1182529896141817,2.894024593837742,35,6
30,4.1886115129076575,1.822968492453767,4.540833565706009,25,4
31,0.0,2.0671152136890987,0.5340371850955611,40,6
32,3.3287056557756873,2.0,0.0,35,6
33,1.0,3.5250518309563432,1.9510434462450057,32,6
34,1.0,2.481360930038171,0.7525779978837277,24,4
35,0.0,2.0,2.3950407754711964,16,2
36,0.5562880986972161,2.2050546298610296,0.33376471463064605,29,4
37,1.0,3.036055324894699,3.632581079923018,35,6
38,0.6896656192370401,2.0,3.65449090284939,15,2
39,2.0559006363155286,2.0041586037176646,0.6364320649679114,15,2
40,3.0,2.0,1.0728072606628163,29,4
41,4.0,3.987853540472237,0.5192678486044817,24,4
42,0.0,1.0,0.47102451545223595,30,4
43,3.2837571399764123,4.44318659865762,3.8237637753455416,39,6
44,0.18348780443469792,3.1415072774073316,3.35772037062109,29,4
45,1.0,2.1590377992171756,3.757007071285663,34,6
46,0.0,3.2137347667659713,0.0,21,2
47,2.0,3.75572623743739,0.0,36,6
48,1.3506469771113192,2.210032809246505,0.0,27,4
49,0.0,0.0,0.12015812370529316,31,4
50,0.0,1.8484477581242307,3.309693722794069,31,4
51,1.0,3.0,0.9549518148115914,20,2
52,0.0,2.4320994169795203,3.239912871975281,25,4
53,0.0,1.7615556007728517,1.5812583119504642,26,4
54,0.6657043273567913,1.962605087157752,0.33918307458602415,16,2
55,0.0,2.2318582229624333,1.7495991265155109,20,2
56,0.0,2.6110203577345983,0.0,25,4
57,1.3398484039939857,5.0,4.003786491362861,21,2
58,0.0,4.071290220068036,3.6863049935535734,31,4
59,2.0,3.242802600830011,1.1964213778102257,33,4
60,0.0,1.9026484682508062,0.5593116733986261,14,2
61,0.0,0.0,0.0,14,2
62,0.0,1.0256011783154984,0.0,45,6
63,1.0,3.0,0.42393697010893383,14,2
64,1.3762914483353694,1.0,0.0,17,2
65,0.494487083155164,1.947284654503509,0.26999727860022965,33,6
66,0.0,3.1313362730118826,1.464205988860864,39,6
67,0.0,2.721241208434547,0.5395908471284558,27,4
68,0.0,2.713056968936587,0.2824782379356857,43,6
69,1.0,2.829978863360246,2.625028415622263,24,4
70,1.0,3.718232223847117,0.9753391496799132,23,2
71,0.0,1.1813600650180671,2.437110995822235,35,6
72,1.0,2.09738866856636,0.7428207474932946,30,4
73,0.5041485057189279,2.450784446830566,0.5751651917132481,30,4
74,0.5945393982062899,2.161379252569361,0.22134718234878903,44,6
75,0.0,1.0,1.3648002147381646,30,4
76,1.5231415702084439,3.251034079356822,0.39908977145756996,40,6
77,1.0,3.899979491902715,2.102756165852373,27,4
78,2.0,2.2502714897628273,4.0,43,6
79,1.0,1.3719289448811702,1.4063924864255082,15,2
80,0.0,0.6742342030406299,0.8339174152016777,10,2
81,1.0,0.0,2.0629880990616356,29,4
82,1.9790957699083984,1.2828123846190689,1.7414398657837098,32,6
83,0.06616818847319816,0.0,5.0,25,4
84,0.0,3.2368844169658066,1.6052982311468986,15,2
85,0.0,4.990931884675703,0.0,31,6
86,0.0,0.0,2.328793969057579,33,6
87,0.0,1.0863674754762025,0.2732789124227602,36,6
88,0.0,0.0,1.4700630016122926,27,4
89,2.0,4.082527063429721,1.9420572753283643,38,6
90,1.694832910171142,1.2176203732151216,0.5704595384719904,35,6
91,1.3296561140794085,2.795780593738737,0.03739830550636724,17,2
92,2.0,2.9030917515861674,1.0461256616106145,19,2
93,1.0,0.0,0.03657505227338633,18,2
94,2.6442888529573807,4.0,0.31643817038215555,18,2
95,0.0,3.878636293183174,3.7774516187097356,20,4
96,3.0,5.0,3.4030420471695066,41,6
97,1.0,0.4590397416973353,0.956452664715387,42,6
98,0.0,2.2506806638753076,0.5245890543609188,25,4
99,0.33333333333333304,3.114952884190494,1.9498796837764667,38,6
100,1.0,0.0,0.28160299672578976,14,2
101,1.4438624332972576,2.599704323382735,4.020914646065106,27,4
102,1.0,2.019817895385513,1.037152731714041,13,2
103,0.0,0.9681267558615003,4.165763803509621,14,2
104,0.0,2.742433852437842,2.274341888267152,38,6
105,0.0,1.159666926623026,0.5681279311730996,25,4
106,0.0,2.0,0.0,28,4
107,1.0,4.314265313732665,2.484415259157582,41,6
108,0.0,3.5019881578238206,0.0,26,4
109,1.0,4.325599909345972,4.231865355988166,48,6
110,0.0,0.0,2.4257263696588156,21,2
111,0.0,5.0,3.213948815580943,36,6
112,2.7544894436593417,0.0,0.0,13,2
113,0.0,1.482568816791348,3.5035298209246153,43,6
114,0.0,3.7358589387923224,1.8685986544767326,30,4
115,1.0,2.669929942266103,2.5919998361821834,38,6
